iter	Logloss
0	0.6877131374
1	0.6833625585
2	0.6779535243
3	0.6734861466
4	0.6693584845
5	0.665037117
6	0.6607740583
7	0.656522276
8	0.6528367016
9	0.6487455036
10	0.6449061273
11	0.6420464274
12	0.638222049
13	0.6357310681
14	0.6323159047
15	0.6301199363
16	0.6276861428
17	0.6251435909
18	0.6230395909
19	0.6209399485
20	0.6181199393
21	0.6163439435
22	0.6139264694
23	0.6122112523
24	0.6100982157
25	0.6080995942
26	0.6061302137
27	0.6044919488
28	0.602366609
29	0.6012966948
30	0.5997120467
31	0.5978004609
32	0.5958695937
33	0.5944390318
34	0.5930846241
35	0.5913953757
36	0.5895465414
37	0.5883830591
38	0.5875277922
39	0.5861177155
40	0.5844535142
41	0.5840688657
42	0.5828297005
43	0.5815904354
44	0.5803597483
45	0.5788878365
46	0.5777517886
47	0.5767752474
48	0.5759161071
49	0.5749780696
50	0.5742009572
51	0.572942792
52	0.5718962921
53	0.5709313289
54	0.5700178738
55	0.5694453054
56	0.5685004662
57	0.5676172489
58	0.5667230837
59	0.5661835926
60	0.5644892601
61	0.5643531783
62	0.5633993543
63	0.562994148
64	0.5617715407
65	0.5612762927
66	0.561024475
67	0.5602831546
68	0.559547812
69	0.5584995448
70	0.5580334681
71	0.5567554674
72	0.555916496
73	0.5551062192
74	0.5547006954
75	0.5540033596
76	0.5533021457
77	0.5529124956
78	0.5522353452
79	0.5517273142
80	0.5509474283
81	0.5502580085
82	0.5496135412
83	0.5492149992
84	0.5480210469
85	0.5471153147
86	0.5467671924
87	0.5460543428
88	0.5456605405
89	0.5455557922
90	0.5451929106
91	0.5443505296
92	0.5438432666
93	0.5430363697
94	0.5425330047
95	0.542046404
96	0.5420050954
97	0.5412864232
98	0.5411782113
99	0.5406172908
100	0.5399596244
101	0.5395389596
102	0.5391364518
103	0.5386300316
104	0.5377718228
105	0.5373100649
106	0.5361847845
107	0.5358771
108	0.5356256983
109	0.5354608714
110	0.5350833046
111	0.5347332607
112	0.5344316909
113	0.533991586
114	0.5333828078
115	0.5328638561
116	0.5325886976
117	0.532383183
118	0.5319950921
119	0.5310603894
120	0.5307787972
121	0.5303792632
122	0.5298286225
123	0.5295307202
124	0.5288519868
125	0.5278426293
126	0.5272849379
127	0.5269073161
128	0.5265259181
129	0.5259386054
130	0.5252153277
131	0.524256892
132	0.523625106
133	0.5233903417
134	0.5229996866
135	0.5225615375
136	0.5217800659
137	0.5212115994
138	0.520681103
139	0.5206533847
140	0.5202831242
141	0.5192491679
142	0.518322804
143	0.5180921687
144	0.5173989156
145	0.5169986641
146	0.5163478251
147	0.5160645176
148	0.5154153679
149	0.5151656947
150	0.5150812018
151	0.5147553572
152	0.514220325
153	0.5138829031
154	0.5136515043
155	0.5132947293
156	0.5127604187
157	0.512110747
158	0.5112536418
159	0.511014587
160	0.5108139287
161	0.5104520183
162	0.5102599137
163	0.5098233564
164	0.5088555926
165	0.5085116634
166	0.5077876728
167	0.5074790349
168	0.5072374766
169	0.506827876
170	0.5066748106
171	0.5066747235
172	0.5059682958
173	0.5055020125
174	0.5049310623
175	0.5044906077
176	0.5042294259
177	0.5041788352
178	0.5039297761
179	0.5035287257
180	0.5033054164
181	0.5029551828
182	0.5026090677
183	0.5018634385
184	0.5017800828
185	0.5012113132
186	0.5009480636
187	0.5002893358
188	0.5000412096
189	0.4995996493
190	0.4989776388
191	0.4988517253
192	0.4984627553
193	0.498462676
194	0.4984625789
195	0.4981359833
196	0.4978711789
197	0.4975629884
198	0.4971739035
199	0.4966271942
200	0.4962199709
201	0.4960642194
202	0.4957097583
203	0.4957097427
204	0.4954855602
205	0.4946143412
206	0.4937514289
207	0.4934399167
208	0.4928164191
209	0.4925371764
210	0.4923240341
211	0.4919164277
212	0.4918594318
213	0.4918164451
214	0.4915234929
215	0.4909864841
216	0.4908700835
217	0.4908155908
218	0.4904357598
219	0.4903901817
220	0.4901249898
221	0.4898367619
222	0.4890148678
223	0.4888106378
224	0.4883233538
225	0.4878982069
226	0.4874040189
227	0.4870250613
228	0.4860832242
229	0.4860136607
230	0.4852139147
231	0.4844834542
232	0.4839681598
233	0.483264984
234	0.4827990732
235	0.4825817681
236	0.4819919381
237	0.4817127462
238	0.4816179092
239	0.4814201061
240	0.4806533329
241	0.4801935806
242	0.4794523248
243	0.4793854104
244	0.4791369996
245	0.4786813988
246	0.478478064
247	0.4784778278
248	0.4780270013
249	0.4769190293
250	0.4763177747
251	0.4759341625
252	0.475386287
253	0.4752885647
254	0.4748921943
255	0.4743723471
256	0.4742329698
257	0.4735835731
258	0.4730497264
259	0.4727792482
260	0.4725236858
261	0.4724010717
262	0.4719173881
263	0.471472857
264	0.4706334044
265	0.4700165904
266	0.4697577859
267	0.469285308
268	0.4687963349
269	0.4685483749
270	0.4681423356
271	0.4678173253
272	0.4676532878
273	0.4673825498
274	0.4665921568
275	0.4656179967
276	0.4653633298
277	0.4652519164
278	0.4648865387
279	0.4643686455
280	0.4635650343
281	0.4632907809
282	0.4629281004
283	0.4623389256
284	0.4618808248
285	0.4616016798
286	0.460650711
287	0.459975382
288	0.4598669118
289	0.459498283
290	0.4590918551
291	0.4587450451
292	0.4586150094
293	0.458214327
294	0.4575529095
295	0.4567627564
296	0.456475857
297	0.456249729
298	0.4558781854
299	0.4556037057
